threshold	precision	recall
-0.100000	0.173099	0.973684
0.000000	0.173099	0.973684
0.010000	0.173302	0.973684
0.020000	0.174734	0.973684
0.030000	0.177458	0.973684
0.040000	0.180268	0.973684
0.050000	0.184539	0.973684
0.060000	0.189258	0.973684
0.070000	0.196026	0.973684
0.080000	0.201635	0.973684
0.090000	0.212339	0.973684
0.100000	0.218750	0.967105
0.110000	0.227769	0.960526
0.120000	0.235484	0.960526
0.130000	0.244966	0.960526
0.140000	0.251291	0.960526
0.150000	0.259325	0.960526
0.160000	0.267528	0.953947
0.170000	0.274102	0.953947
0.180000	0.277457	0.947368
0.190000	0.282000	0.927632
0.200000	0.291322	0.927632
0.210000	0.303030	0.921053
0.220000	0.315193	0.914474
0.230000	0.323185	0.907895
0.240000	0.328467	0.888158
0.250000	0.336683	0.881579
0.260000	0.341146	0.861842
0.270000	0.352151	0.861842
0.280000	0.360335	0.848684
0.290000	0.369942	0.842105
0.300000	0.374631	0.835526
0.310000	0.382263	0.822368
0.320000	0.388535	0.802632
0.330000	0.401338	0.789474
0.340000	0.409722	0.776316
0.350000	0.420290	0.763158
0.360000	0.433962	0.756579
0.370000	0.449799	0.736842
0.380000	0.468619	0.736842
0.390000	0.470085	0.723684
0.400000	0.471366	0.703947
0.410000	0.481818	0.697368
0.420000	0.483871	0.690789
0.430000	0.495192	0.677632
0.440000	0.502488	0.664474
0.450000	0.520833	0.657895
0.460000	0.535135	0.651316
0.470000	0.556180	0.651316
0.480000	0.560000	0.644737
0.490000	0.566265	0.618421
0.500000	0.570552	0.611842
0.510000	0.573248	0.592105
0.520000	0.586667	0.578947
0.530000	0.598639	0.578947
0.540000	0.591549	0.552632
0.550000	0.597122	0.546053
0.560000	0.616541	0.539474
0.570000	0.635659	0.539474
0.580000	0.645669	0.539474
0.590000	0.661290	0.539474
0.600000	0.669565	0.506579
0.610000	0.681818	0.493421
0.620000	0.688679	0.480263
0.630000	0.705882	0.473684
0.640000	0.736842	0.460526
0.650000	0.736264	0.440789
0.660000	0.752941	0.421053
0.670000	0.759036	0.414474
0.680000	0.787500	0.414474
0.690000	0.800000	0.394737
0.700000	0.810811	0.394737
0.710000	0.821918	0.394737
0.720000	0.821918	0.394737
0.730000	0.845070	0.394737
0.740000	0.838235	0.375000
0.750000	0.848485	0.368421
0.760000	0.866667	0.342105
0.770000	0.886792	0.309211
0.780000	0.884615	0.302632
0.790000	0.882353	0.296053
0.800000	0.880000	0.289474
0.810000	0.872340	0.269737
0.820000	0.869565	0.263158
0.830000	0.883721	0.250000
0.840000	0.921053	0.230263
0.850000	0.909091	0.197368
0.860000	0.903226	0.184211
0.870000	0.892857	0.164474
0.880000	0.880000	0.144737
0.890000	0.904762	0.125000
0.900000	0.904762	0.125000
0.910000	0.900000	0.118421
0.920000	0.941176	0.105263
0.930000	0.928571	0.085526
0.940000	0.888889	0.052632
0.950000	1.000000	0.032895
0.960000	1.000000	0.032895
0.970000	1.000000	0.026316
0.980000	1.000000	0.013158
0.990000	1.000000	0.006579
