threshold	precision	recall
-0.100000	0.040936	1.000000
0.000000	0.040936	1.000000
0.010000	0.046419	1.000000
0.020000	0.052006	1.000000
0.030000	0.058725	1.000000
0.040000	0.062857	0.942857
0.050000	0.069767	0.942857
0.060000	0.072430	0.885714
0.070000	0.080214	0.857143
0.080000	0.087613	0.828571
0.090000	0.093333	0.800000
0.100000	0.105263	0.800000
0.110000	0.109705	0.742857
0.120000	0.117371	0.714286
0.130000	0.121212	0.685714
0.140000	0.130435	0.685714
0.150000	0.142012	0.685714
0.160000	0.154839	0.685714
0.170000	0.164384	0.685714
0.180000	0.187500	0.685714
0.190000	0.190083	0.657143
0.200000	0.203540	0.657143
0.210000	0.209091	0.657143
0.220000	0.219048	0.657143
0.230000	0.227723	0.657143
0.240000	0.242105	0.657143
0.250000	0.255814	0.628571
0.260000	0.265823	0.600000
0.270000	0.276316	0.600000
0.280000	0.295775	0.600000
0.290000	0.295775	0.600000
0.300000	0.312500	0.571429
0.310000	0.344828	0.571429
0.320000	0.357143	0.571429
0.330000	0.363636	0.571429
0.340000	0.365385	0.542857
0.350000	0.372549	0.542857
0.360000	0.372549	0.542857
0.370000	0.382979	0.514286
0.380000	0.372093	0.457143
0.390000	0.400000	0.457143
0.400000	0.400000	0.457143
0.410000	0.384615	0.428571
0.420000	0.384615	0.428571
0.430000	0.368421	0.400000
0.440000	0.378378	0.400000
0.450000	0.378378	0.400000
0.460000	0.378378	0.400000
0.470000	0.411765	0.400000
0.480000	0.411765	0.400000
0.490000	0.424242	0.400000
0.500000	0.437500	0.400000
0.510000	0.437500	0.400000
0.520000	0.451613	0.400000
0.530000	0.451613	0.400000
0.540000	0.466667	0.400000
0.550000	0.482759	0.400000
0.560000	0.500000	0.400000
0.570000	0.538462	0.400000
0.580000	0.538462	0.400000
0.590000	0.583333	0.400000
0.600000	0.608696	0.400000
0.610000	0.608696	0.400000
0.620000	0.608696	0.400000
0.630000	0.608696	0.400000
0.640000	0.636364	0.400000
0.650000	0.636364	0.400000
0.660000	0.666667	0.400000
0.670000	0.700000	0.400000
0.680000	0.700000	0.400000
0.690000	0.722222	0.371429
0.700000	0.705882	0.342857
0.710000	0.733333	0.314286
0.720000	0.733333	0.314286
0.730000	0.733333	0.314286
0.740000	0.714286	0.285714
0.750000	0.714286	0.285714
0.760000	0.714286	0.285714
0.770000	0.769231	0.285714
0.780000	0.769231	0.285714
0.790000	0.833333	0.285714
0.800000	0.833333	0.285714
0.810000	0.833333	0.285714
0.820000	0.833333	0.285714
0.830000	0.833333	0.285714
0.840000	0.833333	0.285714
0.850000	0.833333	0.285714
0.860000	0.833333	0.285714
0.870000	0.818182	0.257143
0.880000	0.818182	0.257143
0.890000	0.818182	0.257143
0.900000	0.818182	0.257143
0.910000	0.800000	0.228571
0.920000	0.800000	0.228571
0.930000	0.888889	0.228571
0.940000	1.000000	0.228571
0.950000	1.000000	0.228571
0.960000	1.000000	0.200000
0.970000	1.000000	0.142857
0.980000	1.000000	0.085714
