threshold	precision	recall
-0.100000	0.178947	1.000000
0.000000	0.178947	1.000000
0.010000	0.182578	1.000000
0.020000	0.187961	1.000000
0.030000	0.195402	1.000000
0.040000	0.204000	1.000000
0.050000	0.211326	1.000000
0.060000	0.219198	1.000000
0.070000	0.225664	1.000000
0.080000	0.231707	0.993464
0.090000	0.240829	0.986928
0.100000	0.249175	0.986928
0.110000	0.253807	0.980392
0.120000	0.264085	0.980392
0.130000	0.273224	0.980392
0.140000	0.283525	0.967320
0.150000	0.294235	0.967320
0.160000	0.301230	0.960784
0.170000	0.307531	0.960784
0.180000	0.316017	0.954248
0.190000	0.330296	0.947712
0.200000	0.339623	0.941176
0.210000	0.347087	0.934641
0.220000	0.354115	0.928105
0.230000	0.358442	0.901961
0.240000	0.362434	0.895425
0.250000	0.367847	0.882353
0.260000	0.389049	0.882353
0.270000	0.400000	0.875817
0.280000	0.410494	0.869281
0.290000	0.416404	0.862745
0.300000	0.426710	0.856209
0.310000	0.442568	0.856209
0.320000	0.456140	0.849673
0.330000	0.464029	0.843137
0.340000	0.472527	0.843137
0.350000	0.481343	0.843137
0.360000	0.490421	0.836601
0.370000	0.498039	0.830065
0.380000	0.512097	0.830065
0.390000	0.518828	0.810458
0.400000	0.535088	0.797386
0.410000	0.550000	0.790850
0.420000	0.570755	0.790850
0.430000	0.572816	0.771242
0.440000	0.565000	0.738562
0.450000	0.568528	0.732026
0.460000	0.581152	0.725490
0.470000	0.597826	0.718954
0.480000	0.603352	0.705882
0.490000	0.616279	0.692810
0.500000	0.620482	0.673203
0.510000	0.631250	0.660131
0.520000	0.632258	0.640523
0.530000	0.636364	0.640523
0.540000	0.640000	0.627451
0.550000	0.640000	0.627451
0.560000	0.648649	0.627451
0.570000	0.655172	0.620915
0.580000	0.673913	0.607843
0.590000	0.669173	0.581699
0.600000	0.674419	0.568627
0.610000	0.671875	0.562092
0.620000	0.672000	0.549020
0.630000	0.674797	0.542484
0.640000	0.680672	0.529412
0.650000	0.683761	0.522876
0.660000	0.687500	0.503268
0.670000	0.681818	0.490196
0.680000	0.685185	0.483660
0.690000	0.701923	0.477124
0.700000	0.708738	0.477124
0.710000	0.737374	0.477124
0.720000	0.742268	0.470588
0.730000	0.755319	0.464052
0.740000	0.760870	0.457516
0.750000	0.766667	0.450980
0.760000	0.770115	0.437908
0.770000	0.773810	0.424837
0.780000	0.772152	0.398693
0.790000	0.766234	0.385621
0.800000	0.763158	0.379085
0.810000	0.770270	0.372549
0.820000	0.777778	0.366013
0.830000	0.782609	0.352941
0.840000	0.809524	0.333333
0.850000	0.833333	0.326797
0.860000	0.824561	0.307190
0.870000	0.821429	0.300654
0.880000	0.814815	0.287582
0.890000	0.843137	0.281046
0.900000	0.840000	0.274510
0.910000	0.833333	0.261438
0.920000	0.866667	0.254902
0.930000	0.850000	0.222222
0.940000	0.833333	0.196078
0.950000	0.800000	0.156863
0.960000	0.807692	0.137255
0.970000	0.833333	0.130719
0.980000	0.857143	0.078431
0.990000	1.000000	0.045752
