DOID:5585	ferguson-smith tumor|ferguson-smith tumors|ferguson-smith tumour|multiple self healing epithelioma of ferguson-smith
DOID:3382	liposarcoma|liposarcoma [disease/finding]|liposarcomas
DOID:7305	astroblastoma|astroblastomas
DOID:5921	adult brain stem mixed glioma|adult brain stem mixed gliomas|adult brainstem mixed glioma|adult brainstem mixed gliomas
DOID:6697	asynchronous multifocal osteogenic sarcoma|asynchronous multifocal osteogenic sarcomas|asynchronous multifocal osteosarcoma|asynchronous multifocal osteosarcomas
DOID:7733	signet ring cell intrahepatic cholangiocarcinoma|signet ring cell intrahepatic cholangiocarcinomas
DOID:5923	carcinoma of distal biliary tract|carcinoma of the distal biliary tract|distal bile duct carcinoma|distal bile duct carcinomas|distal biliary tract carcinoma|distal biliary tract carcinomas
DOID:5261	cardiac leiomyosarcoma|cardiac leiomyosarcomas|heart leiomyosarcoma|heart leiomyosarcomas|leiomyosarcoma of heart|leiomyosarcoma of the heart
DOID:4875	adenoid cystic carcinoma of the trachea|adenoid cystic carcinoma of trachea|trachea adenoid cystic carcinoma|trachea adenoid cystic carcinomas|tracheal adenoid cystic carcinoma|tracheal adenoid cystic carcinomas
DOID:5758	malignant mesenchymal tumor|malignant mesenchymal tumors|malignant mesenchymal tumour|malignant mesenchymoma|malignant mesenchymomas
DOID:4813	adult brain stem glioma|adult brain stem gliomas|adult brainstem glioma|adult brainstem gliomas|adult brainstem neuroglial neoplasm|adult brainstem neuroglial neoplasms|adult brainstem neuroglial tumor|adult brainstem neuroglial tumors|adult brainstem neuroglial tumour|glioma of adult brain stem|glioma of the adult brain stem
DOID:8251	adult anaplastic rhabdomyosarcoma|adult anaplastic rhabdomyosarcomas|adult pleomorphic rhabdomyosarcoma|adult pleomorphic rhabdomyosarcomas
DOID:6857	mature teratoma of pineal area|mature teratoma of pineal region|mature teratoma of the pineal area|mature teratoma of the pineal region|pineal area mature teratoma|pineal area mature teratomas|pineal region mature teratoma|pineal region mature teratomas
DOID:686	cancer of liver|cancer of liver and intrahepatic biliary tract|cancer of the liver|cancer of the liver and intrahepatic biliary tract|hepatic cancer|hepatic cancers|liver and intrahepatic bile duct cancer|liver and intrahepatic bile duct cancers|liver and intrahepatic bile duct carcinoma|liver and intrahepatic bile duct carcinomas|liver and intrahepatic biliary tract cancer|liver and intrahepatic biliary tract cancers|liver and intrahepatic biliary tract carcinoma|liver and intrahepatic biliary tract carcinomas|liver cancer|liver cancers|liver carcinoma|liver carcinomas|liver/hepatobiliary cancer|liver/hepatobiliary cancers|primary liver carcinoma|primary liver carcinomas
DOID:5409	cancer cell lung oat|cancer cell lung small|lung cancer oat cell|lung oat cell carcinoma|lung oat cell carcinomas|lung small cell carcinoma|lung small cell carcinomas|lung small cell neuroendocrine carcinoma|lung small cell neuroendocrine carcinomas|oat cell cancer|oat cell cancers|oat cell carcinoma of lung|oat cell carcinoma of the lung|oat cell lung cancer|oat cell lung cancers|oat cell lung carcinoma|oat cell lung carcinomas|pulmonary small cell carcinoma <oat cell>|pulmonary small cell carcinoma oat cell|sccl|sclc|sclc1|small cell cancer of the lung|small cell carcinoma|small cell carcinoma of lung|small cell carcinoma of the lung|small cell carcinomas|small cell lung cancer|small cell lung cancer (sclc)|small cell lung cancers|small cell lung carcinoma|small cell lung carcinoma [disease/finding]|small cell lung carcinomas|small cell neuroendocrine carcinoma of lung|small cell neuroendocrine carcinoma of the lung
