hgnc_id	alias_name|alias_symbol|name|prev_name|prev_symbol|symbol
HGNC:5	A1BG|alpha-1-B glycoprotein
HGNC:24086	A1CF|ACF|ACF64|ACF65|APOBEC1 complementation factor|APOBEC1CF|ASP
HGNC:7	A2M|CPAMD5|FWP007|S863-7|alpha-2-macroglobulin
HGNC:23336	A2ML1|C3 and PZP-like, alpha-2-macroglobulin domain containing 9|CPAMD9|FLJ25179|alpha-2-macroglobulin like 1
HGNC:30005	A3GALT2|A3GALT2P|IGB3S|IGBS3S|alpha 1,3-galactosyltransferase 2|alpha 1,3-galactosyltransferase 2, pseudogene|iGb3 synthase|isoglobotriaosylceramide synthase
HGNC:18149	A14GALT|A4GALT|CD77 synthase|Gb3 synthase|Gb3S|P(k)|alpha 1,4-galactosyltransferase|alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)|globotriaosylceramide synthase|lactosylceramide 4-alpha-galactosyltransferase
HGNC:17968	A4GNT|alpha-1,4-N-acetylglucosaminyltransferase|alpha4GnT
HGNC:13666	AAAS|Allgrove, triple-A|achalasia, adrenocortical insufficiency, alacrimia|achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)|adracalin|aladin|aladin WD repeat nucleoporin
HGNC:21298	AACS|ACSF1|FLJ12389|SUR-5|acetoacetyl-CoA synthetase|acyl-CoA synthetase family member 1
HGNC:17	AADAC|CES5A1|DAC|arylacetamide deacetylase|arylacetamide deacetylase (esterase)
HGNC:24427	AADACL2|MGC72001|arylacetamide deacetylase like 2
HGNC:32037	AADACL3|OTTHUMG00000001887|arylacetamide deacetylase like 3
HGNC:32038	AADACL4|OTTHUMG00000001889|arylacetamide deacetylase like 4
HGNC:17929	AADAT|KAT2|KATII|KYAT2|L kynurenine/alpha aminoadipate aminotransferase|aminoadipate aminotransferase|kynurenine aminotransferase II
HGNC:16881	AAED1|AhpC/TSA antioxidant enzyme domain containing 1|C9orf21|chromosome 9 open reading frame 21
HGNC:25662	AAGAB|FLJ11506|alpha- and gamma-adaptin binding protein|p34
HGNC:19679	AAK1|AP2 associated kinase 1|DKFZp686K16132|KIAA1048
HGNC:30205	AAMDC|C11orf67|CK067|FLJ21035|PTD015|adipogenesis associated Mth938 domain containing|chromosome 11 open reading frame 67
HGNC:18	AAMP|angio associated migratory cell protein
HGNC:19	AANAT|SNAT|aralkylamine N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin N-acetyltransferase
HGNC:15886	AAR2|AAR2 splicing factor homolog|AAR2 splicing factor homolog (S. cerevisiae)|C20orf4|bA234K24.2|chromosome 20 open reading frame 4
HGNC:33842	AARD|Alanine and arginine-rich domain-containing protein|C8orf85|LOC441376|alanine and arginine rich domain containing protein|chromosome 8 open reading frame 85
HGNC:20	AARS|CMT2N|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase
HGNC:21022	AARS2|AARSL|KIAA1270|alanine tRNA ligase 2, mitochondrial|alanyl-tRNA synthetase 2, mitochondrial|alanyl-tRNA synthetase 2, mitochondrial (putative)|alanyl-tRNA synthetase like|bA444E17.1
HGNC:28417	AARSD1|MGC2744|alanyl-tRNA synthetase domain containing 1
HGNC:23993	AASDH|ACSF4|LYS2|NRPS998|acyl-CoA synthetase family member 4|aminoadipate-semialdehyde dehydrogenase
HGNC:14235	AASD-PPT|AASDHPPT|ACPS|CGI-80|LYS5|aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase|holo ACP synthase|holo-[acyl-carrier-protein] synthase
HGNC:17366	AASS|LKRSDH|LORSDH|aminoadipate-semialdehyde synthase
HGNC:19235	AATF|BFR2|CHE-1|CHE1|DED|apoptosis antagonizing transcription factor
HGNC:21	AATK|AATYK|AATYK1|KIAA0641|LMR1|LMTK1|PPP1R77|apoptosis associated tyrosine kinase|lemur tyrosine kinase 1|protein phosphatase 1, regulatory subunit 77
HGNC:23	4-aminobutyrate aminotransferase|4-aminobutyrate transaminase|ABAT|GABAT
HGNC:29	ABC1|ABCA1|ATP binding cassette subfamily A member 1|ATP-binding cassette, sub-family A (ABC1), member 1|HDLDT1|TGD|Tangier disease
HGNC:32	ABC2|ABCA2|ATP binding cassette subfamily A member 2|ATP-binding cassette, sub-family A (ABC1), member 2
HGNC:33	ABC-C|ABC3|ABCA3|ATP binding cassette subfamily A member 3|ATP-binding cassette, sub-family A (ABC1), member 3|EST111653|LBM180
HGNC:34	ABCA4|ABCR|ARMD2|ATP binding cassette subfamily A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|CORD3|FFM|RP19|STGD|STGD1|Stargardt disease
HGNC:35	ABCA5|ATP binding cassette subfamily A member 5|ATP-binding cassette, sub-family A (ABC1), member 5|EST90625
HGNC:36	ABCA6|ATP binding cassette subfamily A member 6|ATP-binding cassette, sub-family A (ABC1), member 6|EST155051
HGNC:37	ABCA7|ABCX|ATP binding cassette subfamily A member 7|ATP-binding cassette, sub-family A (ABC1), member 7
HGNC:38	ABCA8|ATP binding cassette subfamily A member 8|ATP-binding cassette, sub-family A (ABC1), member 8|KIAA0822
HGNC:39	ABCA9|ATP binding cassette subfamily A member 9|ATP-binding cassette, sub-family A (ABC1), member 9|EST640918
HGNC:30	ABCA10|ATP binding cassette subfamily A member 10|ATP-binding cassette, sub-family A (ABC1), member 10|EST698739
HGNC:14637	ABCA12|ATP binding cassette subfamily A member 12|ATP-binding cassette, sub-family A (ABC1), member 12|DKFZP434G232|ICR2B|LI2|ichthyosis congenita II, lamellar ichthyosis B
HGNC:14638	ABCA13|ATP binding cassette subfamily A member 13|ATP-binding cassette, sub-family A (ABC1), member 13|FLJ33876|FLJ33951
HGNC:40	ABC20|ABCB1|ATP binding cassette subfamily B member 1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|CD243|CLCS|GP170|MDR1|P-gp|PGY1|colchicin sensitivity|multidrug resistance protein 1
HGNC:45	ABCB4|ATP binding cassette subfamily B member 4|ATP-binding cassette, sub-family B (MDR/TAP), member 4|GBD1|MDR2|MDR3|PFIC-3|PGY3
HGNC:46	ABCB5|ABCB5alpha|ABCB5beta|ATP binding cassette subfamily B member 5|ATP-binding cassette protein|ATP-binding cassette, sub-family B (MDR/TAP), member 5|EST422562|P-glycoprotein ABCB5
HGNC:47	ABCB6|ATP binding cassette subfamily B member 6 (Langereis blood group)|ATP-binding cassette half-transporter|ATP-binding cassette, sub-family B (MDR/TAP), member 6|ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)|EST45597|MTABC3|umat
HGNC:48	ABC7|ABCB7|ASAT|ATP binding cassette subfamily B member 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7|Atm1p|EST140535
HGNC:49	ABCB8|ATP binding cassette subfamily B member 8|ATP-binding cassette, sub-family B (MDR/TAP), member 8|EST328128|M-ABC1|MABC1|mitochondrial ABC protein
HGNC:50	ABCB9|ATP binding cassette subfamily B member 9|ATP-binding cassette, sub-family B (MDR/TAP), member 9|EST122234
HGNC:41	ABC transporter 10 protein|ABCB10|ATP binding cassette subfamily B member 10|ATP-binding cassette sub-family B member 10, mitochondrial|ATP-binding cassette transporter 10|ATP-binding cassette, sub-family B (MDR/TAP), member 10|EST20237|M-ABC2|MTABC2|mitochondrial ATP-binding cassette 2
HGNC:42	ABC member 16, MDR/TAP subfamily|ABC16|ABCB11|ATP binding cassette subfamily B member 11|ATP-binding cassette, sub-family B (MDR/TAP), member 11|BSEP|PFIC-2|PFIC2|PGY4|SPGP|bile salt export pump|progressive familial intrahepatic cholestasis 2
HGNC:51	ABCC1|ATP binding cassette subfamily C member 1|ATP-binding cassette, sub-family C (CFTR/MRP), member 1|GS-X|MRP|MRP1|multidrug resistance associated protein 1
HGNC:53	ABCC2|ATP binding cassette subfamily C member 2|ATP-binding cassette, sub-family C (CFTR/MRP), member 2|CMOAT|DJS|MRP2|cMRP|canalicular multispecific organic anion transporter 1
HGNC:54	ABCC3|ATP binding cassette subfamily C member 3|ATP-binding cassette, sub-family C (CFTR/MRP), member 3|EST90757|MLP2|MOAT-D|MRP3|cMOAT2|canalicular multispecific organic anion transporter 2
HGNC:55	ABCC4|ATP binding cassette subfamily C member 4|ATP-binding cassette, sub-family C (CFTR/MRP), member 4|EST170205|MOAT-B|MOATB|MRP4|bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)|canalicular multispecific organic anion transporter (ABC superfamily)|multidrug resistance-associated protein 4|multispecific organic anion transporter B
HGNC:56	ABCC5|ATP binding cassette subfamily C member 5|ATP-binding cassette, sub-family C (CFTR/MRP), member 5|EST277145|MOAT-C|MRP5|SMRP
HGNC:57	ABCC6|ARA|ATP binding cassette subfamily C member 6|ATP-binding cassette, sub-family C (CFTR/MRP), member 6|EST349056|MLP1|MRP6|PXE|URG7|pseudoxanthoma elasticum
HGNC:59	ABC36|ABCC8|ATP binding cassette subfamily C member 8|ATP-binding cassette, sub-family C (CFTR/MRP), member 8|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|TNDM2|sulfonylurea receptor (hyperinsulinemia)
HGNC:60	ABCC9|ATP binding cassette subfamily C member 9|ATP-binding cassette, sub-family C (CFTR/MRP), member 9|CMD1O|SUR2|sulfonylurea receptor 2
HGNC:52	ABCC10|ATP binding cassette subfamily C member 10|ATP-binding cassette, sub-family C (CFTR/MRP), member 10|EST182763|MRP7|SIMRP7
HGNC:14639	ABCC11|ATP binding cassette subfamily C member 11|ATP-binding cassette, sub-family C (CFTR/MRP), member 11|MRP8
HGNC:14640	ABCC12|ATP binding cassette subfamily C member 12|ATP-binding cassette, sub-family C (CFTR/MRP), member 12|MRP9
HGNC:61	ABCD1|ALD|ALDP|AMN|ATP binding cassette subfamily D member 1|ATP-binding cassette, sub-family D (ALD), member 1|adrenoleukodystrophy
HGNC:66	ABCD2|ALDL1|ALDR|ALDRP|ATP binding cassette subfamily D member 2|ATP-binding cassette, sub-family D (ALD), member 2
HGNC:67	ABCD3|ATP binding cassette subfamily D member 3|ATP-binding cassette, sub-family D (ALD), member 3|PMP70|PXMP1|ZWS2
HGNC:68	ABCD4|ATP binding cassette subfamily D member 4|ATP-binding cassette, sub-family D (ALD), member 4|EST352188|P70R|PMP69|PXMP1L
HGNC:69	ABCE1|ATP binding cassette subfamily E member 1|ATP-binding cassette, sub-family E (OABP), member 1|OABP|RLI|RLI1|RNASEL1|RNASELI|RNS4I|RNase L inhibitor 1
HGNC:70	ABC50|ABCF1|ATP binding cassette subfamily F member 1|ATP-binding cassette, sub-family F (GCN20), member 1|EST123147
HGNC:71	ABC28|ABCF2|ATP binding cassette subfamily F member 2|ATP-binding cassette, sub-family F (GCN20), member 2|EST133090|HUSSY-18|M-ABC1
HGNC:72	ABCF3|ATP binding cassette subfamily F member 3|ATP-binding cassette, sub-family F (GCN20), member 3|EST201864
HGNC:73	ABC8|ABCG1|ATP binding cassette subfamily G member 1|ATP-binding cassette transporter 8|ATP-binding cassette, sub-family G (WHITE), member 1
HGNC:74	ABCG2|ABCP|ATP binding cassette subfamily G member 2 (Junior blood group)|ATP-binding cassette, sub-family G (WHITE), member 2|ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)|BCRP|CD338|EST157481|MXR
HGNC:13884	ABCG4|ATP binding cassette subfamily G member 4|ATP-binding cassette, sub-family G (WHITE), member 4|ATP-binding cassette, subfamily G, member 4|WHITE2|putative ABC transporter
HGNC:13886	ABCG5|ATP binding cassette subfamily G member 5|ATP-binding cassette, sub-family G (WHITE), member 5|STSL|sterolin 1
HGNC:13887	ABCG8|ATP binding cassette subfamily G member 8|ATP-binding cassette, sub-family G (WHITE), member 8|ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)|GBD4|gallbladder disease 4|sterolin 2
HGNC:17553	ABHD1|FLJ36128|LABH1|abhydrolase domain containing 1
HGNC:18717	ABHD2|LABH2|abhydrolase domain containing 2
HGNC:18718	ABHD3|LABH3|abhydrolase domain containing 3
HGNC:20154	ABHD4|FLJ12816|abhydrolase domain containing 4
HGNC:21396	ABHD5|CGI-58|NCIE2|abhydrolase domain containing 5
HGNC:21398	ABHD6|abhydrolase domain containing 6
HGNC:23759	ABHD8|FLJ11743|MGC14280|MGC2512|abhydrolase domain containing 8
HGNC:25656	ABHD10|FLJ11342|abhydrolase domain containing 10
HGNC:16407	ABHD11|PP1226|WBSCR21|Williams Beuren syndrome chromosome region 21|abhydrolase domain containing 11
HGNC:15868	ABHD12|ABHD12A|BEM46L2|C20orf22|DKFZP434P106|abhydrolase domain containing 12|chromosome 20 open reading frame 22|dJ965G21.2
HGNC:19837	ABHD12B|BEM46L3|C14orf29|abhydrolase domain containing 12B|chromosome 14 open reading frame 29
HGNC:20293	ABHD13|BEM46L1|C13orf6|FLJ14906|abhydrolase domain containing 13|bA153I24.2|chromosome 13 open reading frame 6
HGNC:24538	ABHD14A|DKFZP564O243|DORZ1|abhydrolase domain containing 14A
HGNC:28235	ABHD14B|CIB|MGC15429|abhydrolase domain containing 14B
HGNC:26971	ABHD15|abhydrolase domain containing 15
HGNC:13921	ABHD16A|BAT5|D6S82E|HLA-B associated transcript 5|NG26|abhydrolase domain containing 16A
HGNC:16128	ABHD16B|C20orf135|abhydrolase domain containing 16B|chromosome 20 open reading frame 135|dJ591C20.1
HGNC:28756	ABHD17A|C19orf27|FAM108A1|MGC5244|abhydrolase domain containing 17A|chromosome 19 open reading frame 27|family with sequence similarity 108, member A1
HGNC:24278	ABHD17B|C9orf77|CGI-67|FAM108B1|abhydrolase domain containing 17B|chromosome 9 open reading frame 77|family with sequence similarity 108, member B1
HGNC:26925	ABHD17C|FAM108C1|abhydrolase domain containing 17C|family with sequence similarity 108, member C1
HGNC:26111	ABHD18|C4orf29|FLJ21106|abhydrolase domain containing 18|chromosome 4 open reading frame 29
HGNC:11320	ABI-1|ABI1|E3B1|SSH3BP1|abl interactor 1|abl-interactor 1|spectrin SH3 domain binding protein 1
HGNC:24011	ABI-2|ABI2|ABI2B|AIP-1|AblBP3|SSH3BP2|abl interactor 2|abl-interactor 2|argBPIA
HGNC:29859	ABI family member 3|ABI family, member 3|ABI3|NESH|SSH3BP3
HGNC:17265	ABI family member 3 binding protein|ABI family, member 3 (NESH) binding protein|ABI3BP|DKFZP586L2024|NESHBP|TARSH|target of Nesh-SH3
HGNC:76	ABL|ABL proto-oncogene 1, non-receptor tyrosine kinase|ABL1|JTK7|c-ABL|c-abl oncogene 1, non-receptor tyrosine kinase|c-abl oncogene 1, receptor tyrosine kinase|p150|v-abl Abelson murine leukemia viral oncogene homolog 1
HGNC:77	ABL proto-oncogene 2, non-receptor tyrosine kinase|ABL2|ABLL|ARG|Abelson-related gene|c-abl oncogene 2, non-receptor tyrosine kinase|v-abl Abelson murine leukemia viral oncogene homolog 2|v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
HGNC:78	ABLIM|ABLIM1|LIMAB1|abLIM|actin binding LIM protein 1|limatin
HGNC:19195	ABLIM2|KIAA1808|actin binding LIM protein 2|actin binding LIM protein family member 2|actin binding LIM protein family, member 2
HGNC:29132	ABLIM3|KIAA0843|actin binding LIM protein family member 3|actin binding LIM protein family, member 3
HGNC:79	A3GALNT|A3GALT1|ABO|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
HGNC:81	ABR|MDB|active BCR-related|active BCR-related gene
HGNC:30655	ABRA|STARS|actin binding Rho activating protein|striated muscle activator of Rho-dependent signaling
HGNC:21230	ABRA C-terminal like|ABRACL|C6orf115|Costars|HSPC280|PRO2013|chromosome 6 open reading frame 115
HGNC:17369	ABT1|activator of basal transcription 1
HGNC:18275	ABTB1|BPOZ|BTBD21|Btb3|EF1ABP|ankyrin repeat and BTB (POZ) domain containing 1|ankyrin repeat and BTB domain containing 1
HGNC:23842	ABTB2|ABTB2A|BTBD22|DKFZP586C1619|ankyrin repeat and BTB (POZ) domain containing 2|ankyrin repeat and BTB domain containing 2
HGNC:82	ACAA1|acetyl-CoA acyltransferase 1|acetyl-Coenzyme A acyltransferase 1|peroxisomal 3-oxoacyl-Coenzyme A thiolase
HGNC:83	ACAA2|DSAEC|acetyl-CoA acyltransferase 2|acetyl-Coenzyme A acyltransferase 2|mitochondrial 3-oxoacyl-Coenzyme A thiolase
HGNC:84	ACAC|ACACA|ACC|ACC1|acetyl-CoA carboxylase 1|acetyl-CoA carboxylase alpha|acetyl-Coenzyme A carboxylase alpha
HGNC:85	ACACB|ACC2|ACCB|HACC275|acetyl-CoA carboxylase 2|acetyl-CoA carboxylase beta|acetyl-Coenzyme A carboxylase beta
HGNC:87	ACAD8|acyl-CoA dehydrogenase family member 8|acyl-CoA dehydrogenase family, member 8|acyl-Coenzyme A dehydrogenase family, member 8
HGNC:21497	ACAD9|MGC14452|NPD002|acyl-CoA dehydrogenase family member 9|acyl-CoA dehydrogenase family, member 9|acyl-Coenzyme A dehydrogenase family, member 9
HGNC:21597	ACAD10|MGC5601|acyl-CoA dehydrogenase family member 10|acyl-CoA dehydrogenase family, member 10|acyl-Coenzyme A dehydrogenase family, member 10
HGNC:30211	ACAD11|FLJ12592|acyl-CoA dehydrogenase family member 11|acyl-CoA dehydrogenase family, member 11|acyl-Coenzyme A dehydrogenase family, member 11
HGNC:88	ACAD4|ACADL|LCAD|acyl-CoA dehydrogenase, long chain|acyl-Coenzyme A dehydrogenase, long chain
HGNC:89	ACAD1|ACADM|MCAD|MCADH|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
HGNC:90	ACAD3|ACADS|SCAD|acyl-CoA dehydrogenase, C-2 to C-3 short chain|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain
HGNC:91	ACAD7|ACADSB|SBCAD|acyl-CoA dehydrogenase, short/branched chain|acyl-Coenzyme A dehydrogenase, short/branched chain
HGNC:92	ACAD6|ACADVL|LCACD|VLCAD|acyl-CoA dehydrogenase, very long chain|acyl-Coenzyme A dehydrogenase, very long chain
HGNC:319	ACAN|AGC1|CSPG1|CSPGCP|MSK16|aggrecan|aggrecan 1|aggrecan proteoglycan|chondroitin sulfate proteoglycan 1
HGNC:16467	ACAP1|ArfGAP with coiled-coil, ankyrin repeat and PH domains 1|CENTB1|KIAA0050|centaurin, beta 1
HGNC:16469	ACAP2|ArfGAP with coiled-coil, ankyrin repeat and PH domains 2|CENTB2|CNT-B2|KIAA0041|centaurin, beta 2
HGNC:16754	ACAP3|ArfGAP with coiled-coil, ankyrin repeat and PH domains 3|CENTB5|KIAA1716|centaurin, beta 5
HGNC:93	ACAT|ACAT1|THIL|acetoacetyl Coenzyme A thiolase|acetyl-CoA acetyltransferase 1|acetyl-Coenzyme A acetyltransferase 1
HGNC:94	ACAT2|acetoacetyl Coenzyme A thiolase|acetyl-CoA acetyltransferase 2|acetyl-Coenzyme A acetyltransferase 2|acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)
HGNC:15453	ACBD3|GCP60|GOCAP1|GOLPH1|PAP7|PBR- and PKA-associated protein 7|acyl-CoA binding domain containing 3|acyl-Coenzyme A binding domain containing 3|golgi complex associated protein 1, 60kDa
HGNC:23337	ACBD4|FLJ13322|acyl-CoA binding domain containing 4|acyl-Coenzyme A binding domain containing 4
HGNC:23338	ACBD5|DKFZp434A2417|KIAA1996|acyl-CoA binding domain containing 5|acyl-Coenzyme A binding domain containing 5
HGNC:23339	ACBD6|MGC2404|acyl-CoA binding domain containing 6|acyl-Coenzyme A binding domain containing 6
HGNC:17715	ACBD7|FLJ38219|acyl-CoA binding domain containing 7|acyl-Coenzyme A binding domain containing 7|bA455B2.2
HGNC:23989	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)|1-aminocyclopropane-1-carboxylate synthase homolog (inactive)|ACCS|ACS|PHACS
HGNC:34391	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like|1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like|ACCSL
HGNC:25070	ACD|POT1 and TIN2 organizing protein|Pip1|Ptop|TIN2 interacting protein 1|Tint1|Tpp1|adrenocortical dysplasia homolog|adrenocortical dysplasia homolog (mouse)
HGNC:2707	ACE|ACE1|CD143|DCP1|angiotensin I converting enzyme|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1|peptidyl-dipeptidase A
HGNC:13557	ACE2|angiotensin I converting enzyme (peptidyl-dipeptidase A) 2|angiotensin I converting enzyme 2|peptidyl-dipeptidase A
HGNC:18356	ACER1|ASAH3|N-acylsphingosine amidohydrolase (alkaline ceramidase) 3|alkaline ceramidase 1
HGNC:23675	ACER2|ASAH3L|FLJ41587|N-acylsphingosine amidohydrolase 3-like|alkaline ceramidase 2
HGNC:16066	ACER3|APHC|FLJ11238|PHCA|alkaline ceramidase 3|alkaline phytoceramidase|phytoceramidase, alkaline
HGNC:108	ACHE|YT|Yt blood group|acetylcholinesterase (Cartwright blood group)|acetylcholinesterase (YT blood group)|acetylcholinesterase (Yt blood group)
HGNC:17066	ACIN1|ACINUS|KIAA0670|apoptotic chromatin condensation inducer 1|apoptotic chromatin condensation inducer in the nucleus|fSAP152|functional spliceosome-associated protein 152
HGNC:4035	ACKR1|CCBP1|CD234|DARC|Dfy|Duffy blood group|Duffy blood group, atypical chemokine receptor|Duffy blood group, chemokine receptor|FY|GPD|atypical chemokine receptor 1|atypical chemokine receptor 1 (Duffy blood group)
HGNC:1565	ACKR2|CCBP2|CCR10|CCR9|CMKBR9|D6|atypical chemokine receptor 2|chemokine binding protein 2
HGNC:23692	ACKR3|CMKOR1|CXCR7|GPR159|RDC1|atypical chemokine receptor 3|chemokine (C-X-C motif) receptor 7|chemokine orphan receptor 1
HGNC:1611	ACKR4|CCBP2|CCR11|CCRL1|CCX-CKR|PPR1|VSHK1|atypical chemokine receptor 4|chemokine (C-C motif) receptor-like 1
HGNC:115	ACL|ACLY|ATP citrate lyase|ATP citrate synthase|ATPCL|CLATP
HGNC:19288	ACMSD|aminocarboxymuconate semialdehyde decarboxylase
HGNC:117	ACO1|IREB1|IREBP|IRP1|aconitase 1|aconitase 1, soluble|aconitate hydratase, cytoplasmic|cytosplasmic aconitase|soluble aconitase
HGNC:118	ACO2|ACONM|aconitase 2|aconitase 2, mitochondrial|aconitate hydratase, mitochondrial|mitochondrial aconitase
HGNC:33904	ACOD1|CAD|IRG1|aconitate decarboxylase 1|immunoresponsive 1 homolog (mouse)
HGNC:33128	ACH2|ACOT1|CTE-1|LACH2|acyl-CoA thioesterase 1
HGNC:18431	ACOT2|Mte1|ZAP128|acyl-CoA thioesterase 2|mitochondrial acyl-CoA thioesterase 1
HGNC:19748	ACOT4|FLJ31235|PTE-Ib|PTE2B|acyl-CoA thioesterase 4
HGNC:33159	ACOT6|C14orf42|acyl-CoA thioesterase 6|chromosome 14 open reading frame 42
HGNC:24157	ACH1|ACOT7|ACT|BACH|CTE-II|LACH1|MGC1126|acyl-CoA thioesterase 7|brain acyl CoA hydrolase|hBACH
HGNC:15919	ACOT8|NAP1|Nef (lentivirus myristoylated factor) associated protein 1|PTE-2|PTE1|acyl-CoA thioesterase 8|choloyl-CoA hydrolase|hACTE-III|hTE|peroxisomal acyl-CoA thioesterase|peroxisomal acyl-CoA thioesterase 1
HGNC:17152	ACATE2|ACOT9|CGI-16|MT-ACT48|acyl-CoA thioesterase 9
HGNC:18156	ACOT11|BFIT|BFIT1|KIAA0707|STARD14|StAR-related lipid transfer (START) domain containing 14|THEA|THEM1|acyl-CoA thioesterase 11|thioesterase, adipose associated
HGNC:24436	ACOT12|Cach|STARD15|StAR-related lipid transfer (START) domain containing 15|THEAL|acyl-CoA thioesterase 12
